Unternehmen,Plattform,Handle
E.ON Digital Technology GmbH,Facebook,eon
E.ON Drive GmbH,Facebook,eon
E.ON Energie AG,Facebook,eon
E.ON Energie Deutschland GmbH,Facebook,eonenergiede
E.ON Energie Dialog GmbH,Facebook,eonenergiede
E.ON Business Solutions Deutschland GmbH,Facebook,eonenergiede
E.ON Digital Technology GmbH,Facebook,eon
E.ON Energy Projects GmbH,Facebook,eon
E.ON Business Solutions Deutschland GmbH,Facebook,eonenergiede
E.ON Gas Mobil GmbH,Facebook,eon
E.ON Grid Solutions GmbH,Facebook,eon
E.ON Group Innovation GmbH,Facebook,eonenergiede
E.ON Hydrogen GmbH,Facebook,eonenergiede
E.ON Inhouse Consulting GmbH,Facebook,eonenergiede
E.ON Business Solutions Deutschland GmbH,Facebook,eonenergiede
E.ON Business Solutions Deutschland GmbH,Facebook,eonenergiede
E.ON Business Solutions Deutschland GmbH,Facebook,eonenergiede
E.ON Business Solutions Deutschland GmbH,Facebook,eonenergiede
e.pilot GmbH,Facebook,epilotcommunity
E.VITA GmbH,X,evita_energie
e.wa riss GmbH & Co. KG,Instagram,ewa_riss
e.wa riss Netze GmbH,Instagram,ewanetze
EAM Beteiligungen GmbH,Facebook,meineeam
EAM Beteiligungen GmbH,Facebook,meineeam
EAM GmbH & Co. KG,Facebook,meineeam
EAM Beteiligungen GmbH,Facebook,meineeam
EAM Netz GmbH,Facebook,meineeam
eco contract GmbH,Facebook,ecocontractgmbh
EDF power solutions Deutschland GmbH,X,edf_power
EDPR Deutschland GmbH,Instagram,edp.global
EEF Erneuerbare Energien Fabrik GmbH,Instagram,eef_erneuerbareenergienfabrik
EEG Energie- Einkaufs- und Service GmbH,Instagram,eeg.energie
EEW Energy from Waste GmbH,Instagram,eew_group
EFG Erdgas Forchheim GmbH,Facebook,stadtwerkeforchheimgmbh
EGF EnergieGesellschaft Frankenberg mbH,Instagram,egf_frankenberg
EGR Energiegesellschaft Riesa GmbH,Facebook,volltreffer.riesa
EGT AG,Facebook,egt1896
EGT Energie GmbH,Facebook,egt1896
EGT Energiehandel GmbH,Instagram,egt_gruppe
EGT Energievertrieb GmbH,Facebook,egt1896
EHINGER ENERGIE GmbH & Co. KG,Facebook,ehingerenergy
Eichsfelder Energie- und Wasserversorgungsgesellschaft mbH,Facebook,eew.duderstadt
Eigenbetrieb für kommunale Aufgaben und Dienstleistungen (EAD),Facebook,eaddarmstadt
Eigenbetrieb Wasser & Abwasser Trossingen,Facebook,stadtwerketrossingen
Eigenbetrieb Wasserwerk im Amt Itzstedt,Facebook,amtitzstedt
EINHORN-ENERGIE GmbH & Co. KG,Instagram,stadtwerke_giengen
Einride Technologies Germany GmbH,Facebook,einrideofficial
eins energie in sachsen GmbH & Co. KG,Facebook,eins.energie.in.sachsen
eins+null GmbH & Co. KG,Facebook,eundn
Eisenacher Versorgungs-Betriebe GmbH,Instagram,evb_energy
Elaway GmbH,Facebook,elawaycharging
ELE Verteilnetz GmbH,Facebook,emscher.lippe.energie
Elektrizitätswerk Aach GmbH,Facebook,ewerkaach
Elektrizitätswerk des Kantons Schaffhausen AG,Facebook,eks.energie
Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG,Instagram,ewerk.goldbach
Elektrizitätswerk Karl Stengle GmbH & Co. KG,Facebook,ewerkstengle
Elektrizitätswerk Landsberg GmbH,Facebook,lechwerke
Elektrizitätswerk Mittelbaden AG & Co. KG,Instagram,e_werk_mittelbaden
Elektrizitätswerke Reutte GmbH & Co. KG,Facebook,elektrizitaetswerkereutte
Elektroenergieversorgung Cottbus GmbH,Instagram,evc_cottbus
EMB Energie Brandenburg GmbH,Facebook,energiebrandenburg
EMB Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG,Facebook,embmil
Emscher Lippe Energie GmbH,Facebook,emscher.lippe.energie
Emschergenossenschaft und Lippeverband,Facebook,eglv.de
emsys VPP GmbH,Instagram,emsys_renewables
EnBW Energie Baden-Württemberg AG,Facebook,enbw
EnBW Energie Baden-Württemberg AG,Facebook,enbw
EnBW Energie Baden-Württemberg AG,Facebook,enbw
EnBW Ostwürttemberg DonauRies Aktiengesellschaft ODR,Facebook,enbwodr
ENCAVIS GmbH,X,encavis
ene't GmbH,Facebook,enetatwork
enercity AG,Facebook,enercity
enercity Erneuerbare GmbH,Instagram,enercity_erneuerbare
enercity Netz GmbH,Facebook,enercity
Energie AG Oberösterreich,Facebook,energieag
Energie Calw GmbH,Facebook,encw.de
Energie Mittelsachsen GmbH,Facebook,energiemittelsachsengmbh
Energie SaarLorLux AG,Instagram,energie_saarlorlux
Energie Südbayern GmbH,Facebook,energiesuedbayern
Energie und Wasser Potsdam GmbH,Facebook,stadtwerkepotsdam
Energie Waldeck-Frankenberg GmbH,Facebook,ewf.nordhessen
Energie- und Wasserversorgung Bruchsal GmbH,Instagram,stadtwerkebruchsalgmbh
Energie- und Wasserversorgung Bünde GmbH,Facebook,ewb.buende
Energie- und Wasserwerke Bautzen GmbH,Facebook,bautzenenergie
Energieallianz Austria GmbH,Instagram,energieallianzaustria
energiekonzept ortenau GmbH,Instagram,energiekonzept
Energienetze Mittelrhein GmbH & Co. KG,Facebook,meineevm
Energiepark Redlin GmbH & Co. KG,Facebook,wind.turbine.marketplace
Energiequelle GmbH,Facebook,energiequellegmbh
Energieservice Westfalen Weser GmbH,Facebook,westfalenweserenergie
EnergieServicePlus GmbH,X,legwohnen
EnergieSüdwest AG,Facebook,energiesuedwest
EnergieSüdwest Netz GmbH,Facebook,energiesuedwest
Energieversorgung Alzenau GmbH,Facebook,eva.alzenau
Energieversorgung Apolda GmbH,Instagram,energieversorgungapolda
Energieversorgung Filstal GmbH & Co. KG,Facebook,evfgoeppingen
Energieversorgung Greiz GmbH,Facebook,evgreiz
Energieversorgung Guben GmbH,Facebook,energieversorgunggubengmbh
Energieversorgung Halle Netz GmbH,Facebook,swh.stadtwerkehalle
Energieversorgung Leverkusen GmbH & Co. KG,Facebook,evl.leverkusen
Energieversorgung Lohr-Karlstadt und Umgebung GmbH & Co. KG,Instagram,die_energie_
Energieversorgung Main-Spessart GmbH,Facebook,energieversorgungmainspessart
Energieversorgung Marienberg GmbH,Instagram,swm_evm_marienberg
Energieversorgung Mittelrhein AG,Facebook,meine.evm
Energieversorgung Nordhausen GmbH,Facebook,evnordhausen
Energieversorgung Oberes Wiesental GmbH,Facebook,eowtodtnau
Energieversorgung Oberhausen AG,Facebook,evo.energie
Energieversorgung Offenbach AG,Facebook,energieversorgung.offenbach
Energieversorgung Rudolstadt GmbH,Facebook,evr.rudolstadt
Energieversorgung Sehnde GmbH,Instagram,energieversorgung.sw.sehnde
Energieversorgung Selb-Marktredwitz GmbH,Facebook,esmselb
Energieversorgung Sylt GmbH,Instagram,evs_sylt
Energieversorgung Trossingen GmbH,Facebook,stadtwerketrossingen
Energiewerke Zeulenroda GmbH,Instagram,ewz_zeulenroda
energis GmbH,Facebook,erlebe.energis
Energy2market GmbH,X,e2m_media
ENERGY4U GmbH,Facebook,energy4u.ka
Energyminer GmbH,Instagram,energyminer_gmbh
Enerparc AG,X,enerparc
ENERTRAG SE,Facebook,enertrag
ENGIE Deutschland AG,Facebook,engiedeutschland
ENGIE Deutschland AG,Facebook,engiedeutschland
ENGIE Deutschland AG,Facebook,engiedeutschland
ENGIE Energy Management Solutions GmbH,Facebook,engiedeutschland
Enmacc GmbH,Facebook,enmaccofficial
ENOVA Power GmbH,Instagram,enova.power
Enovos Energie Deutschland GmbH,Facebook,enovos.deutschland.se
Enovos Power GmbH,Facebook,enovos.deutschland.se
Enovos Renewables GmbH,Facebook,enovos.deutschland.se
Enovos Renewables O&M GmbH,Facebook,enovos.deutschland.se
Enovos Storage GmbH,Facebook,enovos.deutschland.se
Enpal Energy GmbH,Facebook,enpal.de
enPORTAL GmbH,X,enportal_gmbh
ENRW Energieversorgung Rottweil GmbH & Co. KG,Facebook,enrwrottweil
ENTEGA Abwasserreinigung GmbH & Co. KG,X,entega
ENTEGA AG,X,entega
ENTEGA Plus GmbH,Facebook,entega
Entsorgungsverband Saar Körperschaft des öffentlichen Rechts,Instagram,evs_entsorgungsverbandsaar
envia Mitteldeutsche Energie AG (enviaM),Facebook,enviam
envia SERVICE GmbH,Instagram,enviam_gruppe
envia THERM GmbH,Instagram,enviam_gruppe
enwag energie- und wassergesellschaft mbH,Facebook,enwag
enwor Netz GmbH,Facebook,enworgmbh
eprimo GmbH,Facebook,eprimo.energie
Equinor Deutschland GmbH,Facebook,equinor
Erdgas Südwest GmbH,Facebook,erdgassuedwest
Erftverband,Facebook,erftverband
ESN EnergieSystemeNord GmbH,Facebook,energiesystemenord
ESSO Deutschland GmbH,Facebook,essodeutschland
ESTW - Erlanger Stadtwerke AG,Instagram,erlanger_stadtwerke
ESWE Versorgungs AG,Facebook,esweversorgung
Eurogate Technical Services GmbH,Instagram,eurogate_group
EVB Netze GmbH,Instagram,evb_energy
evd energieversorgung dormagen gmbh,Facebook,evddormagen
EVH GmbH,Instagram,evh.halle.saale
EVI Energieversorgung Hildesheim GmbH & Co. KG,Facebook,evihildesheim
EVL Energieversorgung Limburg GmbH,Facebook,evl.limburg
EVN AG,Facebook,evn
Evonik Operations GmbH,Facebook,evonik
EW Eichsfeldgas GmbH,Instagram,eichsfeldwerke.gmbh
EW Geiger GmbH,Instagram,ewerkgeiger
EW Wasser GmbH,Instagram,eichsfeldwerke.gmbh
EW-Schmid GmbH,Facebook,ewschmidgmbh
EWE Aktiengesellschaft,Facebook,eweerleben
EWE Go GmbH,Facebook,ewegogmbh
EWE TEL GmbH,Facebook,eweerleben
EWE TRADING GmbH,Instagram,echt_ewe
EWE VERTRIEB GmbH,Instagram,echt_ewe
EWR Aktiengesellschaft,Facebook,ewr.ag
EWR GmbH,Facebook,ewrremscheid
EWV Energie- und Wasser-Versorgung GmbH,Facebook,ewvenergie
exceeding solutions GmbH,Instagram,exceeding_solutions
ExxonMobil Central Europe Holding GmbH,Facebook,exxonmobildeutschland
ExxonMobil Production Deutschland GmbH,Facebook,exxonmobildeutschland
EY GmbH & Co. KG Wirtschaftsprüfungsgesellschaft,X,ey_germany
EZV Energie- und Service GmbH & Co. KG Untermain,Facebook,ezvenergie
f(x) energy GmbH,Facebook,fx.energy.gmbh
FairEnergie GmbH,Instagram,stadtwerke_reutlingen
FairNetz GmbH,Instagram,fairnetzgmbh
Fastned Deutschland GmbH & Co. KG,Facebook,fastned
Fernwasserversorgung Elbaue-Ostharz GmbH,Facebook,fernwassereo
Fernwasserversorgung Oberfranken,Facebook,fernwasserversorgungoberfranken
Fernwärme Ulm GmbH,Instagram,fug_ulm
FFR Fernwärmeversorgung Flugplatz Ramstein GmbH,Facebook,pfalzwerkeaktiengesellschaft
figawa e. V.,Instagram,figawa_ev
Fischereihafen-Betriebsgesellschaft mbH,Facebook,derfischereihafen
Flughafen Düsseldorf GmbH,Facebook,dus
Fluxys Deutschland GmbH,X,fluxysgroup
FLUXYS TENP GmbH,X,fluxysgroup
Fraport AG Frankfurt Airport Services Worldwide,Facebook,frankfurtairport
Freiberger Erdgas GmbH,Facebook,swfreiberg
Freiberger Erdgas GmbH,Facebook,swfreiberg
Freihoff Sicherheitsservice GmbH,Facebook,freihoffgroup
Freisinger Stadtwerke,Facebook,stadtwerkefreising
Freisinger Stadtwerke Versorgungs-GmbH,Facebook,stadtwerkefreising
Frequentum GmbH,Instagram,frequentum_com
FriesenEnergie GmbH,Facebook,friesenenergie
Gammertinger Energie- und Wasserversorgung GmbH,Instagram,gew_gmbh
Gas- und Wasserwerke Bous-Schwalbach GmbH,Facebook,gasundwasserwerkebousschwalbach
GASAG AG,Facebook,gasagde
GASAG Solution Plus GmbH,Facebook,gasagde
GASCADE Gastransport GmbH,Facebook,gascade
Gasunie Deutschland Transport Services GmbH,X,gasunie
Dessauer Stromversorgung GmbH,Facebook,stadtwerkedessau
Gasversorgung Ebermannstadt GmbH,Instagram,stadtwerke_ebermannstadt
Gasversorgung Eisenhüttenstadt GmbH,Facebook,stadtwerkeeisenhuettenstadt
Gasversorgung Garbsen GmbH,Facebook,stadtwerkegarbsen
Gasversorgung Grafschaft Hoya GmbH,Instagram,grafschaft.hoya
Gasversorgung Görlitz GmbH,Facebook,stadtwerkegoerlitz
Gasversorgung Main-Kinzig GmbH,Facebook,mainkinziggas
Energieversorgung Offenbach AG,Facebook,energieversorgung.offenbach
Gasversorgung Torgelow GmbH,Facebook,stadtwerketorgelow
Gasversorgung Unterfranken GmbH,Facebook,gasuf
Gasversorgung Westerwald GmbH,Facebook,meine.evm
GE Wind Energy GmbH,Instagram,gevernova_salzbergen
Gelsenwasser AG,Facebook,gelsenwasser
Gelsenwasser Entwicklungsgesellschaft Dresden mbH,Facebook,gelsenwasser
Gemeinde Dörentrup,Facebook,doerentrup
Gemeinde Extertal,Instagram,gemeindeextertal
Gemeinde Liederbach,Facebook,liederbachamtaunus
Gemeinde Neuhof -Wasserversorgung-,Facebook,gemeindenhf
Gemeinde Neunkirchen-Seelscheid -Gemeindewerke-,Facebook,nkse.de
Gemeindewasserwerk Nonnweiler,Facebook,gemeindenonnweiler
Gemeindewasserwerk Perl,Instagram,perl.mosel.saarland
Gemeindewasserwerk Riegelsberg,Facebook,riegelsberg
Gemeindewasserwerk Schmelz,Facebook,gemeinde.schmelz
Gemeindewasserwerk Waldfeucht,Facebook,gemeindewaldfeucht
Gemeindewasserwerk Weiskirchen,Facebook,gemeindeweiskirchen
Gemeindewerke Ainring,Facebook,ainring.de
Gemeindewerke Bad Zwischenahn für Wasser und Abwasser,Facebook,gemeindebadzwischenahn
Gemeindewerke Bobenheim-Roxheim GmbH,Facebook,stwfrankenthal
Gemeindewerke Brüggen GmbH,Facebook,gemeindewerke.brueggen
Gemeindewerke Georgensgmünd,Instagram,georgensgmuend_de
Gemeindewerke Glattbach,Facebook,glattbach
Gemeindewerke Grefrath GmbH,Facebook,gemeindewerke.grefrath
Gemeindewerke Gundelfingen GmbH,Facebook,gwg.gundelfingen
Gemeindewerke Heikendorf AöR,Facebook,gemeindewerkeheikendorf
Gemeindewerke Hohentengen,Facebook,hohentengen
Gemeindewerke Holzkirchen GmbH,Instagram,gemeindewerke.holzkirchen
Gemeindewerke Ismaning,Facebook,ismaning.de
Gemeindewerke Kahl Versorgungsgesellschaft mbH,Instagram,gemeindewerkekahl
Gemeindewerke Kerken,Facebook,gemeindekerken
Gemeindewerke Malente AöR,Facebook,gemeindewerkemalente
Gemeindewerke Murnau a. Staffelsee,Facebook,gemeindewerke.murnau
Gemeindewerke Nümbrecht GmbH,Facebook,gwn24
Gemeindewerke Nümbrecht Netz GmbH,Facebook,gwn24
Gemeindewerke Peiner Land GmbH & Co. KG,Facebook,gemeindewerkepeinerland
Gemeindewerke Peißenberg KU,Facebook,gemeindewerke.peissenberg
Gemeindewerke Ruppichteroth GmbH,Instagram,gwr_gmbh
Gemeindewerke Schutterwald,Facebook,gemeindewerkeschutterwald
Gemeindewerke Steinhagen GmbH,Facebook,gswerke
Gemeindewerke Stockelsdorf GmbH,Instagram,gemeindewerke_stockelsdorf
Gemeindewerke Wadgassen GmbH,Instagram,gemeindewerke.wadgassen
Gemeindewerke Waging a. See,Facebook,gemeindewerkewaging
Gemeindewerke Waldbronn -Wasserversorgung-,Instagram,gemeinde.waldbronn
Gemeindewerke Wendelstein KU,Facebook,gemeindewerkewendelstein
Gemeinschaftskraftwerk Irsching GmbH,Facebook,uniperenergy
General Electric Deutschland Holding GmbH (GE Vernova),Facebook,gevernova
Genossenschaftsverband Weser-Ems e.V.,Instagram,genossenschaftsverband_we
GEO Gesellschaft für Energieversorgung Ostalb mbH,Instagram,geo_ostalb
GEW Wilhelmshaven GmbH,Facebook,gew.wilhelmshaven
Gewobag ED Energie- und Dienstleistungsgesellschaft mbH,Facebook,gewobag
GISA GmbH,Facebook,gisa.de
goldgas GmbH,Facebook,goldgas
Gorillini NV,Facebook,gorilladata
Gothaer Stadtwerke Energie GmbH,Facebook,stadtwerkegotha
Gothaer Stadtwerke NETZ GmbH,Facebook,gothaerstadtwerkeenergie
GP JOULE GmbH,Facebook,gpjoule
GP JOULE Plus GmbH,Facebook,gpjoule
green flexibility development GmbH,Instagram,green.flexibility
greenventory GmbH,Facebook,greenventory.de
gridX GmbH,X,getgridx
GSW Gemeinschaftsstadtwerke GmbH Kamen - Bönen - Bergkamen,Facebook,gswgmbh
GVG Rhein-Erft GmbH,Facebook,gvgrheinerft
GVH Gasversorgung Haar GmbH,Facebook,stadtwerke.haar
GVP Gasversorgung Pforzheim Land GmbH,Facebook,gasversorgung.pforzheim
GVW GmbH,Facebook,gvwgmbh
GWAdriga GmbH & Co. KG,X,gwadriga
GWBS Netzgesellschaft mbH,Facebook,gasundwasserwerkebousschwalbach
Haager Beteiligungs-AG,Instagram,kraftwerkehaag
Hallesche Wasser und Stadtwirtschaft GmbH,Facebook,hws.hallesche.wasser.und.stadtwirtschaft
Hamburg Wasser,Facebook,hamburgwasser
Hamburger Energienetze GmbH,Facebook,hamburgerenergienetze
Hamburger Energiewerke GmbH,Facebook,hamburgerenergiewerke
Hamburger Energiewerke Mobil GmbH,Facebook,hamburgerenergiewerke
Hamburg Wasser,Facebook,hamburgwasser
Hamburger Wasserwerke GmbH,Facebook,hamburgwasser
Hansen Technologies Germany GmbH,Facebook,hansentechnologies
HanseWerk AG,Facebook,hansewerk
HanseWerk Natur GmbH,Facebook,hansewerk
Harz Energie GmbH & Co. KG,Facebook,harzenergie
Harz Energie Netz GmbH,Facebook,harzenergie
Harzwasserwerke GmbH,Instagram,harzwasserwerke
Hamburger Energiewerke GmbH,Facebook,hamburgerenergiewerke
Herzo Werke GmbH,Instagram,herzo_stadtwerke
Hessenwasser GmbH & Co. KG,Facebook,hessenwasser
Hochsauerlandwasser GmbH,Facebook,hochsauerlandwasser
homee GmbH,Facebook,stromee.de
HORNE E-TECH GMBH,Facebook,hornegruppe
Hubject GmbH,Facebook,hubject
IBC Solar AG,Facebook,ibcsolar.de
illwerke vkw AG,Facebook,illwerke.vkw
inexogy smart metering GmbH & Co. KG,Facebook,inexogy
infra fürth gmbh,Facebook,infra.fuerth
Ingolstädter Kommunalbetriebe AöR,Facebook,inkb.kommunalbetriebe
INOL GmbH,Facebook,inolgmbh
IONITY GmbH,Facebook,ionity.eu
Iqony Energies GmbH,Instagram,steag_iqony_group
Iqony Fernwärme GmbH,Instagram,steag_iqony_group
Iqony GmbH,Instagram,steag_iqony_group
Iqony Renewables GmbH,Instagram,steag_iqony_group
Iqony Solutions GmbH,Instagram,steag_iqony_group
Iqony Technischer Service GmbH,Instagram,steag_iqony_group
Iqony Wärme GmbH,Instagram,steag_iqony_group
iS Software GmbH,Instagram,is.software
ista SE,X,ista_aktuell
IT-Consult Halle GmbH,Facebook,swh.stadtwerkehalle
ITC Internet-Trade-Center AG,Facebook,itcag
items GmbH & Co. KG,Instagram,items.karriere
ITVT Energy Solutions UG,Facebook,itvtgroup
Jolt Energy GmbH,X,joltenergygroup
juwi GmbH,Facebook,juwigruppe
Kasseler Verkehrs- und Versorgungs-GmbH,Facebook,kvv.kassel
KASSELWASSER Eigenbetrieb der Stadt,Instagram,kasselwasser
KBG Kraftstrom-Bezugsgenossenschaft Homberg eG,Facebook,kbghomberg
Kernkraftwerk Brokdorf GmbH & Co. oHG,Facebook,preussenelektra
Kernkraftwerk Brunsbüttel GmbH & Co. oHG,Facebook,vattenfall
KEW Kommunale Energie- und Wasserversorgung AG,Facebook,kewneunkirchen
Kisters AG,Facebook,kisters.ag
KlimaInvest Green Concepts GmbH,Instagram,klimainvest_green_concepts
Knauber Erdgas GmbH,Facebook,knauber.de
KommEnergie GmbH,Facebook,kommenergie
Kommunale Wasserwerke Leipzig GmbH,Facebook,leipzigergruppe
Kommunalunternehmen Stadtwerke Penzberg,Instagram,stadtwerke_penzberg
Kommunalunternehmen Stadtwerke Pfaffenhofen an der Ilm,Facebook,stadtwerkepfaffenhofen
Kommunalunternehmen Stadtwerke Weiden i.d.OPf. AöR,Instagram,stadtwerke.weiden
Kraftwerk Farchant A. Poettinger & Co. KG,Instagram,kraftwerkfarchant
E.ON Business Solutions Deutschland GmbH,Facebook,eonenergiede
Kraftwerk Reutlingen-Kirchentellinsfurt AG,Instagram,stadtwerke_reutlingen
Kreiswasserwerk Neuwied Eigenbetrieb des Landkreises Neuwied,Facebook,swnneuwied
Kreiswerke Cham -Wasserversorgung-,Facebook,landkreischam
Kreiswerke Cochem-Zell - Wasserversorgung,Instagram,kv_cochemzell
Kreiswerke Grevenbroich GmbH,Facebook,kreiswerkegrevenbroich
Kreiswerke Main-Kinzig GmbH,Facebook,kreiswerke
Köthen Energie GmbH,Facebook,koethenergie
LandE GmbH,Instagram,lswholding
Landis+Gyr GmbH,Facebook,landisgyr
LandStrom GmbH & Co. KG,Facebook,landwindgruppe
Lechwerke AG,Facebook,lechwerke
lekker Energie GmbH,Facebook,energieladen.lekker
LEW Natur GmbH,Facebook,lechwerke
LEW Service & Consulting GmbH,Facebook,lechwerke
LEW TelNet GmbH,Facebook,lechwerke
LEW Verteilnetz GmbH,Facebook,lechwerke
